127.0.0.1 - - [19/Aug/2021:10:27:02 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:04 +0700] "GET /cvietnamwork/templates/public/inc/header.jsp HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:04 +0700] "GET /cvietnamwork/templates/public/assets/css/reset/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:04 +0700] "GET /cvietnamwork/templates/public/inc/pic/slide1.jpg HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:04 +0700] "GET /cvietnamwork/templates/public/assets/css/style/stylePublic.css HTTP/1.1" 200 5482
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:05 +0700] "GET /cvietnamwork/templates/public/inc/pic/slide1.jpg HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:07 +0700] "GET /cvietnamwork/templates/public/inc/pic/slide2.jpg HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:08 +0700] "GET /cvietnamwork/templates/public/inc/pic/slide0.jpg HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:10 +0700] "GET /cvietnamwork/templates/public/inc/pic/slide1.jpg HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:11 +0700] "GET /cvietnamwork/templates/public/inc/pic/slide2.jpg HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:13 +0700] "GET /cvietnamwork/templates/public/inc/pic/slide0.jpg HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:14 +0700] "GET /bsong/images/slide2.jpg HTTP/1.1" 404 704
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:14 +0700] "GET /bsong/template/public/images/slide3.jpg HTTP/1.1" 404 728
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:14 +0700] "GET /cvietnamwork/templates/public/inc/pic/slide1.jpg HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:16 +0700] "GET /cvietnamwork/templates/public/inc/pic/slide2.jpg HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:17 +0700] "GET /cvietnamwork/templates/public/inc/pic/slide0.jpg HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:19 +0700] "GET /cvietnamwork/templates/public/inc/pic/slide1.jpg HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:21 +0700] "GET /cvietnamwork/templates/public/inc/pic/slide2.jpg HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:22 +0700] "GET /cvietnamwork/templates/public/inc/pic/slide0.jpg HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [19/Aug/2021:10:27:24 +0700] "GET /cvietnamwork/templates/public/inc/pic/slide1.jpg HTTP/1.1" 404 741
